FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1153SCN.txt,297,53,226,53,894,77,412,77,0.46,0.19,0.18,0.03,0.08,0.20,297,38,39.70,37.40,0.33,0.75,7.02,9.93,0.84,18.20,0.44,22.92,3.38,0.55,0.13,0.67,0.10,0.11,0.21
1155SCN.txt,169,37,117,37,399,47,218,47,0.55,0.22,0.22,0.12,0.60,0.55,169,35,36.80,32.70,0.42,0.69,5.98,8.46,0.86,18.13,0.67,18.67,3.06,0.54,0.13,0.56,0.10,0.10,0.20
1156SCN.txt,60,13,36,13,93,14,44,14,0.47,0.32,0.22,0.33,0.67,0.58,60,33,38.10,36.90,0.65,0.66,4.40,6.22,0.90,20.36,1.00,6.00,1.73,0.82,0.14,0.83,0.07,0.07,0.14
1157SCN.txt,208,46,151,45,406,60,214,58,0.53,0.27,0.22,0.00,0.00,0.00,208,34,44.30,40.60,0.51,0.80,7.30,10.32,0.89,23.43,0.73,24.20,3.48,0.71,0.15,0.73,0.13,0.16,0.29
1158SCN.txt,112,24,71,23,204,32,94,31,0.46,0.33,0.21,0.16,0.47,0.49,112,40,39.40,37.70,0.55,0.75,5.54,7.84,0.89,20.48,0.89,15.21,2.76,0.76,0.18,0.74,0.14,0.13,0.27
1159SCN.txt,122,28,83,28,287,36,140,36,0.49,0.26,0.23,0.03,0.03,0.12,122,37,36.10,34.00,0.43,0.66,5.09,7.20,0.85,16.26,0.51,9.26,2.15,0.59,0.13,0.63,0.07,0.10,0.17
1160SCN.txt,187,40,139,39,349,47,182,46,0.52,0.25,0.21,0.02,0.02,0.11,187,41,41.70,40.10,0.54,0.79,7.08,10.01,0.89,23.86,0.73,24.20,3.48,0.76,0.18,0.82,0.13,0.15,0.28
1161SCN.txt,135,24,91,22,329,30,140,28,0.43,0.20,0.18,0.04,0.04,0.13,135,39,33.60,33.20,0.41,0.69,5.26,7.44,0.85,16.38,0.50,7.00,1.87,0.65,0.10,0.75,0.10,0.12,0.22
1162SCN.txt,108,18,66,18,282,28,121,28,0.43,0.23,0.17,0.05,0.11,0.23,108,37,36.40,35.10,0.38,0.68,4.55,6.43,0.83,14.40,0.49,8.76,2.09,0.55,0.15,0.63,0.07,0.08,0.15
1163SCN.txt,246,55,186,55,562,68,262,68,0.47,0.26,0.22,0.04,0.07,0.19,246,36,39.50,37.90,0.44,0.75,7.34,10.38,0.87,21.07,0.64,23.14,3.40,0.71,0.14,0.76,0.12,0.14,0.26
1164SCN.txt,222,49,161,48,542,61,247,59,0.46,0.24,0.22,0.04,0.13,0.26,222,36,39.80,37.20,0.41,0.75,6.74,9.54,0.86,19.28,0.60,23.88,3.46,0.65,0.16,0.73,0.10,0.16,0.26
1165SCN.txt,86,13,53,13,204,17,88,17,0.43,0.19,0.15,0.00,0.00,0.00,86,39,34.00,30.40,0.42,0.68,4.26,6.02,0.84,14.22,0.39,4.32,1.47,0.60,0.12,0.71,0.14,0.11,0.25
1166SCN.txt,70,14,40,14,123,20,52,20,0.42,0.38,0.20,0.11,0.11,0.24,70,35,36.90,36.40,0.57,0.73,4.46,6.31,0.88,17.84,0.89,7.11,1.89,0.77,0.15,0.85,0.08,0.12,0.19
1167SCN.txt,191,43,142,41,371,54,184,52,0.50,0.28,0.23,0.10,0.41,0.45,191,36,41.10,39.10,0.51,0.79,7.01,9.92,0.89,22.90,0.85,27.92,3.74,0.77,0.18,0.68,0.16,0.18,0.34
1168SCN.txt,143,35,100,34,315,43,147,42,0.47,0.29,0.24,0.14,0.55,0.53,143,34,36.90,37.10,0.45,0.72,5.70,8.06,0.86,18.20,0.79,18.24,3.02,0.68,0.16,0.67,0.08,0.12,0.20
1169SCN.txt,191,35,125,33,521,46,227,42,0.44,0.19,0.18,0.09,0.46,0.48,191,35,36.80,35.60,0.37,0.72,5.92,8.37,0.84,16.94,0.61,20.17,3.18,0.55,0.15,0.53,0.08,0.10,0.19
1170SCN.txt,115,29,76,29,251,40,108,40,0.43,0.37,0.25,0.11,0.32,0.40,115,34,34.70,34.10,0.46,0.67,5.13,7.26,0.86,16.99,0.75,15.75,2.81,0.70,0.19,0.72,0.12,0.09,0.21
1171SCN.txt,224,46,173,45,612,81,309,80,0.50,0.26,0.21,0.04,0.12,0.25,224,36,40.10,35.50,0.37,0.74,6.40,9.05,0.84,17.79,0.55,22.72,3.37,0.56,0.13,0.62,0.09,0.14,0.23
1172SCN.txt,54,9,36,9,94,13,51,13,0.54,0.25,0.17,0.00,0.00,0.00,54,36,34.90,31.40,0.57,0.72,3.94,5.57,0.88,16.17,0.62,6.25,1.77,0.71,0.20,0.80,0.08,0.14,0.22
1173SCN.txt,97,24,65,23,189,29,91,27,0.48,0.30,0.25,0.11,0.21,0.32,97,37,38.40,36.80,0.51,0.75,4.99,7.06,0.87,17.89,0.63,7.58,1.95,0.71,0.13,0.80,0.12,0.15,0.27
1174SCN.txt,74,15,46,15,126,18,59,18,0.47,0.31,0.20,0.40,1.60,0.89,74,37,38.10,36.30,0.59,0.76,4.66,6.59,0.89,19.09,0.90,8.10,2.01,0.78,0.15,0.84,0.07,0.14,0.20
1175SCN.txt,133,36,99,35,303,50,152,49,0.50,0.32,0.27,0.20,1.40,0.84,133,38,36.20,35.40,0.44,0.70,5.40,7.64,0.86,17.22,0.71,17.86,2.99,0.65,0.16,0.67,0.09,0.08,0.17
1176SCN.txt,95,25,67,25,180,29,101,29,0.56,0.29,0.26,0.09,0.17,0.29,95,37,37.80,35.60,0.53,0.73,5.01,7.08,0.88,18.33,0.61,8.52,2.06,0.66,0.14,0.69,0.08,0.08,0.16
1177SCN.txt,147,28,105,27,252,36,136,35,0.54,0.26,0.19,0.03,0.03,0.13,147,36,42.00,40.50,0.58,0.78,6.55,9.26,0.90,24.64,0.74,17.06,2.92,0.77,0.17,0.75,0.12,0.18,0.30
1178SCN.txt,96,22,64,21,164,26,85,25,0.52,0.29,0.23,0.07,0.07,0.18,96,40,40.40,37.60,0.59,0.75,5.30,7.50,0.89,21.09,0.67,6.67,1.83,0.75,0.12,0.79,0.13,0.12,0.25
1179SCN.txt,90,18,54,17,147,19,69,18,0.47,0.26,0.20,0.07,0.15,0.27,90,42,38.60,35.10,0.61,0.74,5.25,7.42,0.90,22.05,0.59,9.48,2.18,0.78,0.23,0.89,0.07,0.14,0.22
1180SCN.txt,159,36,114,35,352,45,151,41,0.43,0.27,0.23,0.08,0.31,0.40,159,36,39.40,36.50,0.45,0.75,5.99,8.47,0.86,18.79,0.63,20.08,3.17,0.75,0.21,0.89,0.08,0.11,0.19
1181SCN.txt,35,6,21,6,58,8,34,8,0.59,0.24,0.17,0.22,0.44,0.47,35,33,31.60,32.40,0.60,0.66,3.25,4.60,0.88,14.18,0.78,5.44,1.65,0.62,0.21,0.65,0.12,0.06,0.18
1182SCN.txt,211,48,157,48,401,56,204,56,0.51,0.27,0.23,0.02,0.02,0.11,211,38,41.90,42.20,0.53,0.79,7.45,10.54,0.89,24.30,0.74,22.88,3.38,0.77,0.15,0.79,0.13,0.17,0.30
1183SCN.txt,136,24,88,24,224,33,108,32,0.48,0.30,0.18,0.03,0.03,0.13,136,31,42.00,40.60,0.61,0.76,6.43,9.09,0.91,25.49,0.70,14.70,2.71,0.81,0.19,0.83,0.12,0.19,0.31
1185SCN.txt,60,8,34,8,82,8,40,8,0.49,0.20,0.13,0.00,0.00,0.00,60,38,39.70,37.00,0.73,0.76,4.69,6.63,0.93,27.00,0.69,6.23,1.77,0.85,0.23,0.85,0.28,0.07,0.35
1186SCN.txt,139,31,96,31,207,35,107,35,0.52,0.33,0.22,0.04,0.04,0.13,139,40,44.00,42.50,0.67,0.83,6.83,9.66,0.93,31.01,0.89,22.32,3.34,0.90,0.23,0.88,0.16,0.17,0.33
