FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1569SCN,178,30,128,30,315,36,151,35,0.48,0.23,0.17,0.03,0.03,0.11,178,38,42.4,39.3,0.57,0.79,7.09,10.03,0.9,25.18,0.82,26.26,3.62,0.85,0.21,0.85,0.13,0.17,0.3
1573SCN,189,45,136,43,376,60,201,58,0.53,0.29,0.24,0.02,0.02,0.11,189,30,41.2,39.9,0.5,0.76,6.89,9.75,0.88,22.2,0.68,20.45,3.2,0.68,0.15,0.72,0.11,0.17,0.28
1577SCN,162,41,117,40,319,48,150,46,0.47,0.31,0.25,0.05,0.1,0.23,162,30,38.9,38,0.51,0.76,6.41,9.07,0.88,21.3,0.67,17.33,2.94,0.78,0.17,0.82,0.12,0.21,0.33
1580SCN,188,31,133,30,382,40,180,38,0.47,0.21,0.16,0.03,0.03,0.11,188,34,41.1,36.2,0.49,0.74,6.8,9.62,0.88,21.65,0.85,28.9,3.8,0.74,0.19,0.76,0.12,0.16,0.27
1581SCN,151,28,99,27,348,45,154,43,0.44,0.28,0.19,0.03,0.03,0.12,151,38,38.7,35.8,0.43,0.71,5.72,8.09,0.86,17.81,0.59,11.76,2.43,0.64,0.13,0.67,0.08,0.18,0.26
1584SCN,154,35,108,33,268,40,130,38,0.49,0.29,0.23,0.08,0.24,0.35,154,38,42.4,37.3,0.57,0.78,6.65,9.41,0.9,24.5,0.73,19.7,3.14,0.83,0.21,0.87,0.14,0.14,0.28
1586SCN,201,41,143,41,413,51,202,49,0.49,0.24,0.2,0,0,0,201,30,41.3,39.3,0.49,0.76,6.99,9.89,0.88,21.88,0.66,23.11,3.4,0.71,0.17,0.81,0.11,0.14,0.25
1588SCN,149,35,108,35,241,43,129,41,0.54,0.32,0.23,0.08,0.15,0.28,149,35,41.3,42.3,0.62,0.8,6.79,9.6,0.91,27.17,0.88,20.35,3.19,0.84,0.18,0.76,0.18,0.15,0.33
1594SCN,119,27,80,26,181,32,95,30,0.52,0.32,0.23,0.05,0.05,0.16,119,36,43.1,42,0.66,0.8,6.25,8.85,0.92,27.99,0.84,13.47,2.6,0.84,0.17,0.86,0.19,0.19,0.38
1597SCN,277,58,203,57,711,85,332,84,0.47,0.25,0.21,0.07,0.44,0.47,277,38,41,37.8,0.39,0.77,7.35,10.39,0.86,19.87,0.63,32.11,4.01,0.61,0.15,0.58,0.11,0.11,0.23
1603SCN,220,52,162,52,454,61,223,61,0.49,0.27,0.24,0.05,0.14,0.26,220,37,40,38.7,0.48,0.76,7.3,10.33,0.88,22.44,0.63,25.86,3.6,0.73,0.18,0.8,0.1,0.13,0.24
1604SCN,197,38,143,36,419,55,198,53,0.47,0.27,0.19,0.02,0.02,0.1,197,36,40.3,34.4,0.47,0.75,6.81,9.62,0.88,20.98,0.77,30.77,3.92,0.72,0.2,0.73,0.1,0.16,0.26
1605SCN,144,33,102,32,232,45,129,43,0.56,0.33,0.23,0,0,0,144,41,41.4,40.1,0.62,0.76,6.69,9.45,0.91,27.02,0.78,16.33,2.86,0.79,0.16,0.76,0.12,0.2,0.33
1606SCN,177,37,128,36,322,47,166,46,0.52,0.28,0.21,0.06,0.11,0.24,177,34,41.9,37.8,0.55,0.76,6.97,9.86,0.9,24.2,0.77,20.83,3.23,0.77,0.16,0.74,0.11,0.16,0.27
1607SCN,200,42,146,42,421,58,196,58,0.47,0.3,0.21,0.11,0.56,0.53,200,36,40.1,38.5,0.48,0.77,6.89,9.75,0.88,21.3,0.82,30.42,3.9,0.74,0.19,0.75,0.1,0.15,0.25
1611SCN,183,39,131,38,339,56,173,52,0.51,0.3,0.21,0.15,1.02,0.71,183,33,43.2,41.1,0.54,0.78,7.03,9.94,0.89,23.91,0.79,30.08,3.88,0.76,0.22,0.7,0.11,0.2,0.31
1616SCN,238,51,173,50,538,76,277,74,0.51,0.27,0.21,0.05,0.16,0.28,238,38,41.5,38.2,0.44,0.78,7.26,10.26,0.87,21.05,0.67,25.33,3.56,0.62,0.14,0.62,0.11,0.13,0.24
1618SCN,138,30,94,30,361,47,153,46,0.42,0.3,0.22,0.07,0.21,0.32,138,38,35.1,33.8,0.38,0.67,5.14,7.26,0.84,15.66,0.6,15.72,2.8,0.61,0.17,0.59,0.09,0.08,0.18
1624SCN,181,39,132,39,309,41,160,41,0.52,0.26,0.22,0.03,0.03,0.12,181,39,41.7,39.5,0.59,0.81,7.28,10.3,0.91,26.69,0.83,24.03,3.47,0.82,0.18,0.88,0.12,0.16,0.29
1626SCN,179,41,127,40,321,48,155,47,0.48,0.3,0.23,0.05,0.1,0.22,179,38,40.9,40.7,0.56,0.8,7.06,9.99,0.9,24.77,0.8,25.6,3.58,0.82,0.21,0.81,0.11,0.17,0.28
1628SCN,180,28,122,26,359,39,167,36,0.47,0.22,0.16,0,0,0,180,40,41.7,40.2,0.5,0.79,6.72,9.5,0.88,21.77,0.74,20.63,3.21,0.73,0.17,0.78,0.1,0.17,0.27
1631SCN,143,28,102,28,224,31,119,31,0.53,0.26,0.2,0.03,0.03,0.13,143,37,42.1,39.8,0.64,0.78,6.76,9.55,0.92,28.34,0.83,20.83,3.23,0.86,0.21,0.86,0.15,0.19,0.34
1633SCN,197,38,141,37,426,41,198,40,0.46,0.2,0.19,0.03,0.07,0.19,197,32,40.7,35.5,0.46,0.75,6.75,9.54,0.87,20.64,0.59,19.93,3.16,0.71,0.17,0.85,0.11,0.18,0.28
2176SCN,198,55,149,54,378,63,195,61,0.52,0.31,0.28,0.08,0.23,0.34,198,35,41.1,39.4,0.52,0.79,7.2,10.18,0.89,23.66,0.79,24.64,3.51,0.76,0.16,0.82,0.11,0.16,0.28
