File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1034SCN_0_processed,548,215,520,73,89,2,16,41,215,199,4.837209,0.018648119973918714,8,3.280156487720061,0.1338365236106303
1035SCN_0_processed,730,231,687,142,165,3,23,61,231,214,5.948052,0.01953698475437606,7,3.1571616789008106,0.16181828629656936
1036SCN_0_processed,642,263,580,78,87,10,15,54,263,218,4.4106464,0.014019098481989957,10,3.7390357878849447,0.09215383326684005
1037SCN_0_processed,235,114,221,29,35,0,6,12,114,97,3.877193,0.02887750349324639,8,3.48998602701444,0.08840798434451685
1038SCN_0_processed,133,78,122,9,14,1,5,5,76,64,3.128205,0.03563103563103563,9,3.7736842105263144,0.09098572367803136
1039SCN_0_processed,101,64,93,3,5,3,2,3,54,45,2.90625,0.042162698412698416,8,3.5338923829489874,0.027693833943833943
1040SCN_0_processed,259,134,246,22,27,1,5,10,134,121,3.6716418,0.024464145438222423,9,3.6173268993378986,0.08785331643865062
1042SCN_0_processed,254,125,236,26,28,9,3,12,122,98,3.776,0.02567741935483871,10,3.671860181547216,0.09558067579479343
1043SCN_0_processed,332,193,308,13,17,0,4,13,192,171,3.1917098,0.015705958549222798,9,3.818062827225131,0.09965686553617062
1044SCN_0_processed,265,136,244,25,34,1,9,10,136,108,3.5882354,0.022766884531590415,10,3.6619825708061002,0.08045368923464898
1046SCN_0_processed,924,331,834,112,124,11,15,59,331,297,5.0392747,0.012798681680856908,8,3.4757850407397255,0.11586692827283951
1047SCN_0_processed,339,154,308,41,52,5,12,19,154,121,4.0,0.02130549189372719,9,3.664714370596725,0.11216320078389042
1048SCN_0_processed,256,131,231,19,22,2,4,12,130,118,3.5267177,0.024310041103934234,8,3.290638044126415,0.13640384212903295
1050SCN_0_processed,167,93,152,18,20,1,2,6,90,81,3.2688172,0.030621785881252923,7,3.7425717852684133,0.09549874448006875
1054SCN_0_processed,320,161,295,27,31,0,4,9,160,144,3.6645963,0.020496894409937887,10,3.7861635220125778,0.04792509231814154
1060SCN_0_processed,467,166,437,81,89,3,8,27,166,160,5.2650604,0.025191675794085433,7,3.178167214311793,0.15515480597014425
1064SCN_0_processed,586,266,525,40,55,1,15,38,262,232,3.9473684,0.013306852035749751,9,3.422245620192448,0.13072135056837347
1070SCN_0_processed,614,255,557,79,92,3,14,36,255,219,4.3686275,0.014265863825845299,10,3.5667129844063603,0.12485981689923413
1072SCN_0_processed,435,219,395,32,38,2,7,10,219,189,3.607306,0.014871601524862804,10,3.74487872313686,0.06559571991056033
